,Random,QbC,LCMD,SBAL,SBAL+FlexAL
datasize,0.0,0.0,0.0,0.0,0.0
rmse,0.002626929897814989,0.0017459685914218426,0.0062698666006326675,0.006045984104275703,0.0055900076404213905
nrmse,0.0027280314825475216,0.001830417662858963,0.0062795053236186504,0.006057449616491795,0.005496335215866566
mae,0.0026615525130182505,0.0019940747879445553,0.005911378189921379,0.005669909529387951,0.005293466616421938
99,0.010377242229878902,0.0026350244879722595,0.013484506867825985,0.007252511568367481,0.009401838295161724
95,0.004705885425209999,0.0025419953744858503,0.001695343991741538,0.0048079052940011024,0.014597472734749317
50,0.00034986453829333186,0.004437248222529888,0.011224238201975822,0.009872638620436192,0.010140632279217243
