,Random,QbC,LCMD,SBAL,SBAL+FlexAL
datasize,0.0,0.0,0.0,0.0,0.0
rmse,0.015801453962922096,0.008701099082827568,0.01265361625701189,0.02221822552382946,0.011686722747981548
nrmse,0.01686164364218712,0.008311513811349869,0.010043110698461533,0.01924017257988453,0.01081002689898014
mae,0.015519816428422928,0.00842366088181734,0.012344123795628548,0.021606892347335815,0.011484798975288868
99,0.01571687124669552,0.011043133214116096,0.02164248377084732,0.03925570100545883,0.017024384811520576
95,0.021452853456139565,0.010113781318068504,0.020530346781015396,0.028935449197888374,0.020017631351947784
50,0.017949247732758522,0.009602667763829231,0.01254606805741787,0.01764604263007641,0.012468772940337658
