,Random,QbC,LCMD,SBAL,SBAL+FlexAL
datasize,7.67733907699585,7.67733907699585,7.67733907699585,7.67733907699585,7.67733907699585
rmse,-2.150836944580078,-2.1451234817504883,-2.1442081928253174,-2.1499135494232178,-2.1541357040405273
nrmse,-4.351339340209961,-4.345817565917969,-4.344833850860596,-4.3506245613098145,-4.3549723625183105
mae,-4.681241989135742,-4.676730632781982,-4.675288200378418,-4.680639266967773,-4.6850481033325195
99,-0.9955198168754578,-0.965786337852478,-0.9825241565704346,-0.9881013631820679,-0.9822292327880859
95,-1.311006784439087,-1.3071731328964233,-1.3086355924606323,-1.3130046129226685,-1.3141016960144043
50,-2.313788414001465,-2.3045406341552734,-2.3147947788238525,-2.3149147033691406,-2.314877986907959
