,Random,QbC,LCMD,SBAL,SBAL+FlexAL
datasize,7.67733907699585,7.67733907699585,7.67733907699585,7.67733907699585,7.67733907699585
rmse,-6.645900249481201,-6.83723258972168,-6.6911396980285645,-6.779858112335205,-6.874431133270264
nrmse,-7.41090202331543,-7.556910514831543,-7.439835071563721,-7.519625663757324,-7.605174541473389
mae,-8.442957878112793,-8.636143684387207,-8.489356994628906,-8.577815055847168,-8.673399925231934
99,-5.205349445343018,-5.676751613616943,-5.403406143188477,-5.46707820892334,-5.611624240875244
95,-5.718208312988281,-6.070498466491699,-5.858090400695801,-5.920264720916748,-6.060777187347412
50,-6.933065414428711,-7.014050483703613,-6.912105083465576,-7.007977485656738,-7.080516338348389
